 ,Year,Period,Label,Value
3336,1990,A01,1990 Annual,98.658
3336,1991,A01,1991 Annual,97.260
3336,1992,A01,1992 Annual,94.582
3336,1993,A01,1993 Annual,97.546
3336,1994,A01,1994 Annual,102.014
3336,1995,A01,1995 Annual,97.920
3336,1996,A01,1996 Annual,101.193
3336,1997,A01,1997 Annual,102.203
3336,1998,A01,1998 Annual,101.148
3336,1999,A01,1999 Annual,103.996
3336,2000,A01,2000 Annual,100.691
3336,2001,A01,2001 Annual,110.027
3336,2002,A01,2002 Annual,102.624
3336,2003,A01,2003 Annual,103.051
3336,2004,A01,2004 Annual,95.299
3336,2005,A01,2005 Annual,94.725
3336,2006,A01,2006 Annual,96.795
3336,2007,A01,2007 Annual,100.000
3336,2008,A01,2008 Annual,100.143
3336,2009,A01,2009 Annual,86.696
3336,2010,A01,2010 Annual,95.376
3336,2011,A01,2011 Annual,102.402
3336,2012,A01,2012 Annual,108.041
3336,2013,A01,2013 Annual,104.015
3336,2014,A01,2014 Annual,102.798
3346,1990,A01,1990 Annual,71.030
3346,1991,A01,1991 Annual,74.032
3346,1992,A01,1992 Annual,73.956
3346,1993,A01,1993 Annual,78.601
3346,1994,A01,1994 Annual,86.317
3346,1995,A01,1995 Annual,93.470
3346,1996,A01,1996 Annual,89.215
3346,1997,A01,1997 Annual,94.412
3346,1998,A01,1998 Annual,96.608
3346,1999,A01,1999 Annual,83.399
3346,2000,A01,2000 Annual,78.955
3346,2001,A01,2001 Annual,77.903
3346,2002,A01,2002 Annual,90.656
3346,2003,A01,2003 Annual,98.837
3346,2004,A01,2004 Annual,93.095
3346,2005,A01,2005 Annual,106.343
3346,2006,A01,2006 Annual,99.820
3346,2007,A01,2007 Annual,100.000
3346,2008,A01,2008 Annual,110.448
3346,2009,A01,2009 Annual,102.648
3346,2010,A01,2010 Annual,106.655
3346,2011,A01,2011 Annual,103.254
3346,2012,A01,2012 Annual,113.258
3346,2013,A01,2013 Annual,114.685
3346,2014,A01,2014 Annual,121.021
3113,1990,A01,1990 Annual,88.995
3113,1991,A01,1991 Annual,90.053
3113,1992,A01,1992 Annual,88.446
3113,1993,A01,1993 Annual,90.627
3113,1994,A01,1994 Annual,91.015
3113,1995,A01,1995 Annual,91.504
3113,1996,A01,1996 Annual,93.610
3113,1997,A01,1997 Annual,92.578
3113,1998,A01,1998 Annual,95.157
3113,1999,A01,1999 Annual,94.455
3113,2000,A01,2000 Annual,99.831
3113,2001,A01,2001 Annual,100.024
3113,2002,A01,2002 Annual,97.697
3113,2003,A01,2003 Annual,97.301
3113,2004,A01,2004 Annual,101.374
3113,2005,A01,2005 Annual,105.996
3113,2006,A01,2006 Annual,102.505
3113,2007,A01,2007 Annual,100.000
3113,2008,A01,2008 Annual,93.637
3113,2009,A01,2009 Annual,84.577
3113,2010,A01,2010 Annual,89.120
3113,2011,A01,2011 Annual,86.898
3113,2012,A01,2012 Annual,86.085
3113,2013,A01,2013 Annual,87.819
3113,2014,A01,2014 Annual,88.299
3326,1990,A01,1990 Annual,81.997
3326,1991,A01,1991 Annual,83.238
3326,1992,A01,1992 Annual,82.739
3326,1993,A01,1993 Annual,86.074
3326,1994,A01,1994 Annual,84.042
3326,1995,A01,1995 Annual,88.253
3326,1996,A01,1996 Annual,87.658
3326,1997,A01,1997 Annual,87.242
3326,1998,A01,1998 Annual,89.632
3326,1999,A01,1999 Annual,88.772
3326,2000,A01,2000 Annual,88.833
3326,2001,A01,2001 Annual,84.571
3326,2002,A01,2002 Annual,89.258
3326,2003,A01,2003 Annual,92.393
3326,2004,A01,2004 Annual,93.092
3326,2005,A01,2005 Annual,93.864
3326,2006,A01,2006 Annual,94.343
3326,2007,A01,2007 Annual,100.000
3326,2008,A01,2008 Annual,100.104
3326,2009,A01,2009 Annual,85.777
3326,2010,A01,2010 Annual,94.080
3326,2011,A01,2011 Annual,97.061
3326,2012,A01,2012 Annual,90.925
3326,2013,A01,2013 Annual,88.143
3326,2014,A01,2014 Annual,87.964
3366,1990,A01,1990 Annual,106.299
3366,1991,A01,1991 Annual,101.103
3366,1992,A01,1992 Annual,105.123
3366,1993,A01,1993 Annual,102.769
3366,1994,A01,1994 Annual,100.505
3366,1995,A01,1995 Annual,98.406
3366,1996,A01,1996 Annual,95.323
3366,1997,A01,1997 Annual,101.608
3366,1998,A01,1998 Annual,101.780
3366,1999,A01,1999 Annual,100.329
3366,2000,A01,2000 Annual,97.694
3366,2001,A01,2001 Annual,96.740
3366,2002,A01,2002 Annual,101.574
3366,2003,A01,2003 Annual,102.028
3366,2004,A01,2004 Annual,101.116
3366,2005,A01,2005 Annual,97.290
3366,2006,A01,2006 Annual,99.483
3366,2007,A01,2007 Annual,100.000
3366,2008,A01,2008 Annual,104.279
3366,2009,A01,2009 Annual,105.702
3366,2010,A01,2010 Annual,108.787
3366,2011,A01,2011 Annual,114.075
3366,2012,A01,2012 Annual,115.150
3366,2013,A01,2013 Annual,114.487
3366,2014,A01,2014 Annual,106.421
3274,1990,A01,1990 Annual,102.283
3274,1991,A01,1991 Annual,97.007
3274,1992,A01,1992 Annual,99.783
3274,1993,A01,1993 Annual,98.699
3274,1994,A01,1994 Annual,91.069
3274,1995,A01,1995 Annual,91.737
3274,1996,A01,1996 Annual,94.507
3274,1997,A01,1997 Annual,98.402
3274,1998,A01,1998 Annual,106.783
3274,1999,A01,1999 Annual,99.735
3274,2000,A01,2000 Annual,97.796
3274,2001,A01,2001 Annual,103.810
3274,2002,A01,2002 Annual,101.793
3274,2003,A01,2003 Annual,108.150
3274,2004,A01,2004 Annual,110.612
3274,2005,A01,2005 Annual,118.369
3274,2006,A01,2006 Annual,113.142
3274,2007,A01,2007 Annual,100.000
3274,2008,A01,2008 Annual,103.732
3274,2009,A01,2009 Annual,92.315
3274,2010,A01,2010 Annual,96.212
3274,2011,A01,2011 Annual,101.368
3274,2012,A01,2012 Annual,97.697
3274,2013,A01,2013 Annual,99.912
3274,2014,A01,2014 Annual,100.290
3261,1990,A01,1990 Annual,86.715
3261,1991,A01,1991 Annual,87.079
3261,1992,A01,1992 Annual,89.902
3261,1993,A01,1993 Annual,90.400
3261,1994,A01,1994 Annual,92.138
3261,1995,A01,1995 Annual,91.334
3261,1996,A01,1996 Annual,91.605
3261,1997,A01,1997 Annual,94.235
3261,1998,A01,1998 Annual,94.450
3261,1999,A01,1999 Annual,96.010
3261,2000,A01,2000 Annual,94.999
3261,2001,A01,2001 Annual,92.304
3261,2002,A01,2002 Annual,96.533
3261,2003,A01,2003 Annual,98.095
3261,2004,A01,2004 Annual,100.056
3261,2005,A01,2005 Annual,99.456
3261,2006,A01,2006 Annual,97.605
3261,2007,A01,2007 Annual,100.000
3261,2008,A01,2008 Annual,96.227
3261,2009,A01,2009 Annual,92.551
3261,2010,A01,2010 Annual,96.664
3261,2011,A01,2011 Annual,95.734
3261,2012,A01,2012 Annual,98.725
3261,2013,A01,2013 Annual,98.463
3261,2014,A01,2014 Annual,97.979
3116,1990,A01,1990 Annual,79.540
3116,1991,A01,1991 Annual,77.534
3116,1992,A01,1992 Annual,79.149
3116,1993,A01,1993 Annual,80.535
3116,1994,A01,1994 Annual,80.207
3116,1995,A01,1995 Annual,83.657
3116,1996,A01,1996 Annual,81.157
3116,1997,A01,1997 Annual,85.292
3116,1998,A01,1998 Annual,86.612
3116,1999,A01,1999 Annual,88.174
3116,2000,A01,2000 Annual,87.777
3116,2001,A01,2001 Annual,85.953
3116,2002,A01,2002 Annual,88.877
3116,2003,A01,2003 Annual,92.505
3116,2004,A01,2004 Annual,95.541
3116,2005,A01,2005 Annual,99.454
3116,2006,A01,2006 Annual,101.167
3116,2007,A01,2007 Annual,100.000
3116,2008,A01,2008 Annual,96.526
3116,2009,A01,2009 Annual,94.620
3116,2010,A01,2010 Annual,94.026
3116,2011,A01,2011 Annual,94.066
3116,2012,A01,2012 Annual,91.019
3116,2013,A01,2013 Annual,93.530
3116,2014,A01,2014 Annual,93.073
3241,1990,A01,1990 Annual,89.172
3241,1991,A01,1991 Annual,91.104
3241,1992,A01,1992 Annual,93.885
3241,1993,A01,1993 Annual,97.531
3241,1994,A01,1994 Annual,96.782
3241,1995,A01,1995 Annual,96.593
3241,1996,A01,1996 Annual,101.347
3241,1997,A01,1997 Annual,105.549
3241,1998,A01,1998 Annual,107.585
3241,1999,A01,1999 Annual,108.494
3241,2000,A01,2000 Annual,111.017
3241,2001,A01,2001 Annual,112.679
3241,2002,A01,2002 Annual,104.843
3241,2003,A01,2003 Annual,118.477
3241,2004,A01,2004 Annual,113.786
3241,2005,A01,2005 Annual,115.219
3241,2006,A01,2006 Annual,108.855
3241,2007,A01,2007 Annual,100.000
3241,2008,A01,2008 Annual,99.723
3241,2009,A01,2009 Annual,94.127
3241,2010,A01,2010 Annual,97.421
3241,2011,A01,2011 Annual,92.920
3241,2012,A01,2012 Annual,85.389
3241,2013,A01,2013 Annual,88.021
3241,2014,A01,2014 Annual,91.219
3399,1990,A01,1990 Annual,91.184
3399,1991,A01,1991 Annual,89.840
3399,1992,A01,1992 Annual,89.618
3399,1993,A01,1993 Annual,89.685
3399,1994,A01,1994 Annual,91.798
3399,1995,A01,1995 Annual,94.189
3399,1996,A01,1996 Annual,94.480
3399,1997,A01,1997 Annual,94.574
3399,1998,A01,1998 Annual,92.572
3399,1999,A01,1999 Annual,92.028
3399,2000,A01,2000 Annual,95.068
3399,2001,A01,2001 Annual,90.936
3399,2002,A01,2002 Annual,91.358
3399,2003,A01,2003 Annual,93.185
3399,2004,A01,2004 Annual,96.180
3399,2005,A01,2005 Annual,97.876
3399,2006,A01,2006 Annual,100.125
3399,2007,A01,2007 Annual,100.000
3399,2008,A01,2008 Annual,99.909
3399,2009,A01,2009 Annual,93.224
3399,2010,A01,2010 Annual,100.273
3399,2011,A01,2011 Annual,101.257
3399,2012,A01,2012 Annual,96.399
3399,2013,A01,2013 Annual,95.677
3399,2014,A01,2014 Annual,97.962
3251,1990,A01,1990 Annual,95.720
3251,1991,A01,1991 Annual,90.275
3251,1992,A01,1992 Annual,87.998
3251,1993,A01,1993 Annual,88.007
3251,1994,A01,1994 Annual,88.978
3251,1995,A01,1995 Annual,82.733
3251,1996,A01,1996 Annual,78.806
3251,1997,A01,1997 Annual,83.182
3251,1998,A01,1998 Annual,84.792
3251,1999,A01,1999 Annual,83.583
3251,2000,A01,2000 Annual,80.191
3251,2001,A01,2001 Annual,76.050
3251,2002,A01,2002 Annual,83.107
3251,2003,A01,2003 Annual,88.073
3251,2004,A01,2004 Annual,96.446
3251,2005,A01,2005 Annual,96.678
3251,2006,A01,2006 Annual,97.150
3251,2007,A01,2007 Annual,100.000
3251,2008,A01,2008 Annual,91.320
3251,2009,A01,2009 Annual,84.063
3251,2010,A01,2010 Annual,92.236
3251,2011,A01,2011 Annual,85.857
3251,2012,A01,2012 Annual,85.455
3251,2013,A01,2013 Annual,86.997
3251,2014,A01,2014 Annual,89.643
3271,1990,A01,1990 Annual,92.435
3271,1991,A01,1991 Annual,87.580
3271,1992,A01,1992 Annual,93.009
3271,1993,A01,1993 Annual,95.258
3271,1994,A01,1994 Annual,98.366
3271,1995,A01,1995 Annual,97.376
3271,1996,A01,1996 Annual,99.524
3271,1997,A01,1997 Annual,100.348
3271,1998,A01,1998 Annual,99.823
3271,1999,A01,1999 Annual,102.155
3271,2000,A01,2000 Annual,102.801
3271,2001,A01,2001 Annual,94.923
3271,2002,A01,2002 Annual,93.523
3271,2003,A01,2003 Annual,98.642
3271,2004,A01,2004 Annual,102.859
3271,2005,A01,2005 Annual,107.098
3271,2006,A01,2006 Annual,101.904
3271,2007,A01,2007 Annual,100.000
3271,2008,A01,2008 Annual,92.846
3271,2009,A01,2009 Annual,82.773
3271,2010,A01,2010 Annual,90.184
3271,2011,A01,2011 Annual,92.497
3271,2012,A01,2012 Annual,91.968
3271,2013,A01,2013 Annual,97.677
3271,2014,A01,2014 Annual,99.499
3211,1990,A01,1990 Annual,93.471
3211,1991,A01,1991 Annual,92.947
3211,1992,A01,1992 Annual,93.705
3211,1993,A01,1993 Annual,85.355
3211,1994,A01,1994 Annual,85.467
3211,1995,A01,1995 Annual,88.575
3211,1996,A01,1996 Annual,89.899
3211,1997,A01,1997 Annual,87.181
3211,1998,A01,1998 Annual,86.588
3211,1999,A01,1999 Annual,86.792
3211,2000,A01,2000 Annual,88.725
3211,2001,A01,2001 Annual,89.513
3211,2002,A01,2002 Annual,93.076
3211,2003,A01,2003 Annual,96.865
3211,2004,A01,2004 Annual,94.071
3211,2005,A01,2005 Annual,95.350
3211,2006,A01,2006 Annual,96.105
3211,2007,A01,2007 Annual,100.000
3211,2008,A01,2008 Annual,103.869
3211,2009,A01,2009 Annual,112.213
3211,2010,A01,2010 Annual,119.890
