Series ID,Year,Period,Label,Value,6-Month Net Change,12-Month Net Change,12-Month % Change
IPUEN3336__M000,1990,A01,1990 Annual,98.658, N/A, N/A, N/A
IPUEN3336__M000,1991,A01,1991 Annual,97.260, N/A, N/A, N/A
IPUEN3336__M000,1992,A01,1992 Annual,94.582, N/A, N/A, N/A
IPUEN3336__M000,1993,A01,1993 Annual,97.546, N/A, N/A, N/A
IPUEN3336__M000,1994,A01,1994 Annual,102.014, N/A, N/A, N/A
IPUEN3336__M000,1995,A01,1995 Annual,97.920, N/A, N/A, N/A
IPUEN3336__M000,1996,A01,1996 Annual,101.193, N/A, N/A, N/A
IPUEN3336__M000,1997,A01,1997 Annual,102.203, N/A, N/A, N/A
IPUEN3336__M000,1998,A01,1998 Annual,101.148, N/A, N/A, N/A
IPUEN3336__M000,1999,A01,1999 Annual,103.996, N/A, N/A, N/A
IPUEN3336__M000,2000,A01,2000 Annual,100.691, N/A, N/A, N/A
IPUEN3336__M000,2001,A01,2001 Annual,110.027, N/A, N/A, N/A
IPUEN3336__M000,2002,A01,2002 Annual,102.624, N/A, N/A, N/A
IPUEN3336__M000,2003,A01,2003 Annual,103.051, N/A, N/A, N/A
IPUEN3336__M000,2004,A01,2004 Annual,95.299, N/A, N/A, N/A
IPUEN3336__M000,2005,A01,2005 Annual,94.725, N/A, N/A, N/A
IPUEN3336__M000,2006,A01,2006 Annual,96.795, N/A, N/A, N/A
IPUEN3336__M000,2007,A01,2007 Annual,100.000, N/A, N/A, N/A
IPUEN3336__M000,2008,A01,2008 Annual,100.143, N/A, N/A, N/A
IPUEN3336__M000,2009,A01,2009 Annual,86.696, N/A, N/A, N/A
IPUEN3336__M000,2010,A01,2010 Annual,95.376, N/A, N/A, N/A
IPUEN3336__M000,2011,A01,2011 Annual,102.402, N/A, N/A, N/A
IPUEN3336__M000,2012,A01,2012 Annual,108.041, N/A, N/A, N/A
IPUEN3336__M000,2013,A01,2013 Annual,104.015, N/A, N/A, N/A
IPUEN3336__M000,2014,A01,2014 Annual,102.798, N/A, N/A, N/A
IPUEN3346__M000,1990,A01,1990 Annual,71.030, N/A, N/A, N/A
IPUEN3346__M000,1991,A01,1991 Annual,74.032, N/A, N/A, N/A
